objectid,bundesland,landkreis,altersgruppe,geschlecht,anzahlfall,anzahltodesfall,meldedatum
146936,-nicht erhoben-,-nicht erhoben-,A15-A34,W,1,0,2020-03-20
146937,-nicht erhoben-,-nicht erhoben-,A35-A59,M,1,0,2020-03-19
146938,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,2020-03-14
146939,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,2020-03-19
146940,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,2020-03-14
146941,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,2020-03-18
146942,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,2020-03-14
146943,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,2020-03-20
146944,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,2020-03-14
146945,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,2020-03-19
146946,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,2020-03-20
146947,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-10
146948,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,2020-03-11
146949,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-13
146950,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-14
146951,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-16
146952,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-18
146953,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-20
146954,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,2020-03-10
146955,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,2020-03-12
146956,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,2020-03-16
146957,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,2020-03-17
146958,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,2020-03-18
146959,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,2020-03-19
146960,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,2020-03-11
146961,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,2020-03-12
146962,Schleswig-Holstein,SK Kiel,A35-A59,M,3,0,2020-03-19
146963,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,2020-03-10
146964,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,2020-03-11
146965,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,2020-03-12
146966,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,2020-03-16
146967,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,2020-03-17
146968,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,2020-03-18
146969,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,2020-03-19
146970,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,2020-03-19
146971,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,2020-03-20
146972,Schleswig-Holstein,SK Kiel,A60-A79,W,1,0,2020-03-18
146973,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,2020-03-11
146974,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,2020-03-18
146975,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,2020-03-19
146976,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,2020-03-20
146977,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,2020-03-08
146978,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,2020-03-17
146979,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,2020-03-18
146980,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,2020-03-19
146981,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,2020-02-29
146982,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,2020-03-11
146983,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,2020-03-15
146984,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,2020-03-17
